477.452	730.435	478.713	802.059	446.420	48.142	629.673	387.338	661.231	697.482	557.772	112.758	73.137	139.527	801.835	988.940	814.116	71.039	174.808	95.829	407.570	27.211	963.064	418.253	239.580	143.526	2.525	395.048	514.254	181.046	962.598	823.100	207.667	992.732	229.469	324.417	982.825	780.501	564.905	363.926	165.309	571.320	320.586	192.660	271.394	929.552	163.208	942.998	543.334	147.848	878.309	183.340	671.254	684.490	136.734	671.332	839.105	181.481	288.481	797.934	436.775	998.022	940.663	352.884	986.752	282.982	857.160	377.887
155.997	661.134	782.945	973.086	596.715	252.347	299.142	865.466	469.554	435.807	616.644	257.758	105.442	574.989	258.911	540.180	730.871	266.457	80.915	114.211	462.671	928.269	816.223	528.125	330.049	919.778	978.812	679.677	329.560	510.674	398.444	663.958	392.186	634.119	234.827	335.746	548.422	763.080	318.753	775.581	813.810	94.928	684.142	701.909	383.375	530.454	406.541	968.455	129.691	389.026	387.429	527.747	854.306	736.301	948.216	18.717	905.480	295.971	612.413	532.346	620.019	451.762	254.446	936.629	440.809	660.469	288.485	941.755
880.987	796.722	215.294	768.437	647.814	190.087	42.548	309.512	113.960	71.515	38.484	504.759	279.197	769.169	184.005	498.048	411.444	995.664	396.962	778.732	242.560	24.563	996.988	302.413	580.152	197.141	437.362	244.302	727.824	90.130	752.718	311.647	530.875	378.169	180.468	236.138	788.223	342.004	785.003	644.801	502.565	966.903	932.349	822.880	543.211	853.378	779.545	402.307	261.387	133.534	237.466	234.430	183.313	762.876	100.086	546.110	994.076	487.310	797.975	285.904	37.658	954.447	396.536	792.079	917.545	984.052	960.174	532.006
504.212	888.153	360.967	84.059	570.178	859.175	803.590	250.339	826.842	67.976	308.788	681.885	169.436	40.434	595.920	533.090	366.224	2.596	526.610	355.015	886.964	811.846	348.540	454.533	780.280	313.447	968.722	878.068	285.647	394.575	838.146	340.132	742.759	993.960	351.037	654.544	411.328	681.807	490.566	233.999	630.771	538.477	629.720	504.832	730.130	96.186	658.061	782.005	135.008	32.310	225.577	576.121	509.209	275.360	967.447	597.928	905.831	297.114	76.965	575.642	2.015	916.827	57.609	770.896	847.838	951.533	843.463	718.318
104.747	377.009	163.681	145.245	269.308	217.304	669.016	193.855	899.586	919.495	960.016	861.826	126.501	230.943	857.288	710.140	312.420	715.372	150.766	211.665	507.471	15.331	390.618	814.068	382.057	428.207	643.779	466.492	110.721	10.142	168.726	215.952	157.620	310.967	386.068	63.389	957.952	545.053	958.927	500.417	518.002	844.720	296.746	257.117	559.669	292.786	271.778	402.569	882.952	68.869	37.649	521.643	500.119	108.595	103.065	823.968	743.224	256.590	387.692	726.444	271.979	435.310	960.113	946.705	433.785	97.664	716.998	612.412
366.216	830.276	847.999	2.861	996.379	743.469	904.793	571.890	366.823	519.681	487.481	337.115	9.969	78.768	906.128	80.117	648.387	379.373	414.511	789.057	153.974	21.959	275.315	348.116	315.835	292.975	21.553	925.521	653.247	225.354	872.823	516.324	543.401	733.555	247.013	320.430	424.076	992.863	678.300	610.592	546.979	939.318	906.762	219.771	548.064	627.635	597.403	26.794	114.311	427.272	912.326	569.552	749.278	968.915	637.731	894.198	146.938	681.441	182.653	904.436	237.562	279.040	214.388	502.433	870.249	748.141	334.619	664.244
134.547	510.272	997.419	368.450	958.159	682.592	740.136	812.218	614.098	937.872	470.213	375.600	931.967	247.731	211.139	736.274	560.269	721.305	958.709	596.190	430.045	574.568	65.822	225.887	728.093	639.211	614.913	779.148	482.125	796.594	746.073	346.559	444.259	351.649	957.369	816.678	931.800	320.433	84.885	714.088	739.738	601.295	444.288	144.406	275.972	194.409	939.735	339.882	5.789	84.686	889.662	656.475	515.220	180.994	937.484	299.327	317.974	13.139	223.815	715.803	35.460	669.595	163.015	792.701	543.122	577.433	404.638	822.545
466.548	817.493	105.067	139.516	424.119	567.841	858.901	906.377	739.172	59.005	80.860	220.618	771.393	350.566	5.997	976.046	192.998	153.420	821.587	762.619	369.769	457.307	146.728	362.722	57.047	23.568	38.705	761.635	761.370	124.740	364.994	983.428	983.036	119.434	882.823	118.804	31.923	472.681	583.416	261.404	747.741	615.532	96.478	971.610	839.226	189.223	384.835	595.752	580.882	456.719	345.157	152.877	131.907	346.220	138.938	336.262	636.700	552.904	578.280	149.712	877.368	461.856	796.972	326.451	237.776	600.930	866.101	429.535
571.450	545.281	673.778	136.277	254.818	428.026	613.867	241.306	271.821	977.078	989.535	959.148	796.054	498.271	188.014	413.664	327.765	712.303	17.438	805.736	434.926	906.319	334.197	679.014	658.581	888.884	287.814	756.985	148.495	975.223	721.076	630.988	981.768	115.532	214.983	239.340	751.877	697.797	122.498	177.635	76.613	984.280	391.067	103.920	212.118	562.640	642.140	445.844	278.271	197.558	950.161	838.765	756.737	633.901	271.840	151.474	689.306	724.189	204.502	329.319	973.033	602.508	957.940	73.959	332.562	797.045	595.671	687.263
295.233	610.767	324.270	972.928	643.760	272.632	165.560	148.749	977.001	662.976	368.557	368.636	67.124	329.081	772.603	527.990	202.909	282.551	837.472	104.592	994.655	625.135	777.874	387.528	624.700	400.372	47.996	540.115	899.042	249.763	408.592	404.434	243.434	349.696	139.130	446.935	554.789	623.063	795.293	912.848	914.314	885.442	38.912	34.422	520.254	563.566	710.501	781.874	502.191	350.899	389.949	831.336	500.655	725.270	258.891	781.875	370.538	80.961	585.649	212.659	391.165	138.145	252.208	149.535	68.648	338.810	30.664	587.465
